,id,name,length,file
0,1,Plectropomus_leopardus,99.862236607,D:\project\project_10_28\server/static/Larimichthys_Crocea.jpg
1,2,Plectropomus_leopardus,104.7066798442,D:\project\project_10_28\server/static/Nemipterus_virgatus.jpg
2,3,Pampus_argenteus,104.9993012314,D:\project\project_10_28\server/static/Pampus_argenteus.jpg
3,4,Plectropomus_leopardus,114.0795346579,D:\project\project_10_28\server/static/Plectropomus_leopardus.jpg
4,5,Psenopsis_anomala,108.4346780044,D:\project\project_10_28\server/static/Psenopsis_anomala.jpg
